Outcome,Specification,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
detailed_explanation,Adjusted (common N),C(country_fe)[T.CZ],-1.368141270927103,0.021760766405956332,0.25457971477197255,0.24395009840006368,0.2656724944914471,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.DE],-0.588424574096595,0.01689731482143983,0.5552012745701873,0.5371151891281348,0.573896366224014,1.0705212407331646e-265,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.DK],-1.2269314789442303,0.049064917937592774,0.2931908611058806,0.2663092767636007,0.32278590547303443,5.222657061593469e-138,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.EE],-0.8741358460300735,0.02063806778958168,0.41722240834094476,0.4006825882530778,0.4344449774589898,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.ES],-1.0292607530251334,0.02589350951370549,0.3572709744584656,0.3395917564593438,0.3758705762511141,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.FI],-1.0701165080645259,0.04222060465239715,0.3429685564881569,0.3157301542088652,0.37255684695151386,9.98849055794247e-142,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.FR],-1.2434623688287751,0.025018709227782966,0.2883839956118445,0.2745839769515504,0.30287757446140656,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.GR],-1.6030125207800803,0.028380111973390597,0.20128921575336797,0.19039840797700489,0.21280297881219343,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.HR],-0.8081852128515028,0.023790388360329835,0.4456661219272071,0.4253625064709956,0.46693887968985703,5.957713102987504e-253,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.HU],-0.17216445570846983,0.021756162031691503,0.8418407162723852,0.8066981262855759,0.8785142403109041,2.5052305512996852e-15,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.IE],-0.6765543403343632,0.026441271167904866,0.50836563298226,0.48269114581218403,0.5354057538441188,2.1256632151655092e-144,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.IT],-0.4756284382047222,0.019266148035165326,0.6214943629128271,0.5984637077669236,0.6454113058478911,1.4655708882864331e-134,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.LT],-0.9318896268334211,0.02332089768858409,0.3938088550641823,0.3762137750879425,0.4122268364328495,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.LU],-0.9313202507211448,0.04170095951715819,0.3940331442654561,0.36310884924200926,0.42759111793566,1.7545933511870795e-110,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.LV],-1.2157044251836153,0.02129656068490022,0.2965010778864191,0.2843797127460066,0.3091391025713837,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.MT],-1.3254170874784204,0.03307203230617879,0.26569211911955204,0.24901626093395168,0.28348470857877794,0.0,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.NL],-1.4304190723698622,0.048737269287565624,0.23920865549755957,0.2174160750234737,0.26318560326678786,2.418185077278609e-189,< .001,***
