결과변수,결과변수 라벨,국가,부문,결과=0 N,결과=1 N,전체 N,결과=1 비율(%),희소·분리 경고
personal_data_access,개인정보 접근권 제공,SI,공공부문,80,17,97,17.53,
personal_data_access,개인정보 접근권 제공,SK,비공공부문,248,37,285,12.98,
personal_data_access,개인정보 접근권 제공,SK,공공부문,95,21,116,18.1,
automated_analysis_access,자동화 분석 결과 접근권 제공,AT,비공공부문,284,25,309,8.09,
automated_analysis_access,자동화 분석 결과 접근권 제공,AT,공공부문,95,11,106,10.38,
automated_analysis_access,자동화 분석 결과 접근권 제공,BE,비공공부문,194,11,205,5.37,
automated_analysis_access,자동화 분석 결과 접근권 제공,BE,공공부문,114,1,115,0.87,
automated_analysis_access,자동화 분석 결과 접근권 제공,BG,비공공부문,247,15,262,5.73,
automated_analysis_access,자동화 분석 결과 접근권 제공,BG,공공부문,74,5,79,6.33,
automated_analysis_access,자동화 분석 결과 접근권 제공,CY,비공공부문,136,4,140,2.86,
automated_analysis_access,자동화 분석 결과 접근권 제공,CY,공공부문,58,4,62,6.45,
automated_analysis_access,자동화 분석 결과 접근권 제공,CZ,비공공부문,304,21,325,6.46,
automated_analysis_access,자동화 분석 결과 접근권 제공,CZ,공공부문,93,6,99,6.06,
automated_analysis_access,자동화 분석 결과 접근권 제공,DE,비공공부문,453,63,516,12.21,
automated_analysis_access,자동화 분석 결과 접근권 제공,DE,공공부문,90,11,101,10.89,
automated_analysis_access,자동화 분석 결과 접근권 제공,DK,비공공부문,156,16,172,9.3,
automated_analysis_access,자동화 분석 결과 접근권 제공,DK,공공부문,145,10,155,6.45,
automated_analysis_access,자동화 분석 결과 접근권 제공,EE,비공공부문,257,11,268,4.1,
automated_analysis_access,자동화 분석 결과 접근권 제공,EE,공공부문,65,4,69,5.8,
automated_analysis_access,자동화 분석 결과 접근권 제공,ES,비공공부문,268,10,278,3.6,
automated_analysis_access,자동화 분석 결과 접근권 제공,ES,공공부문,69,2,71,2.82,
automated_analysis_access,자동화 분석 결과 접근권 제공,FI,비공공부문,160,4,164,2.44,
automated_analysis_access,자동화 분석 결과 접근권 제공,FI,공공부문,113,6,119,5.04,
automated_analysis_access,자동화 분석 결과 접근권 제공,FR,비공공부문,217,6,223,2.69,
automated_analysis_access,자동화 분석 결과 접근권 제공,FR,공공부문,84,3,87,3.45,
automated_analysis_access,자동화 분석 결과 접근권 제공,GR,비공공부문,231,2,233,0.86,
automated_analysis_access,자동화 분석 결과 접근권 제공,GR,공공부문,44,1,45,2.22,
automated_analysis_access,자동화 분석 결과 접근권 제공,HR,비공공부문,309,25,334,7.49,
automated_analysis_access,자동화 분석 결과 접근권 제공,HR,공공부문,132,4,136,2.94,
automated_analysis_access,자동화 분석 결과 접근권 제공,HU,비공공부문,376,26,402,6.47,
automated_analysis_access,자동화 분석 결과 접근권 제공,HU,공공부문,67,7,74,9.46,
automated_analysis_access,자동화 분석 결과 접근권 제공,IE,비공공부문,214,6,220,2.73,
automated_analysis_access,자동화 분석 결과 접근권 제공,IE,공공부문,102,2,104,1.92,
automated_analysis_access,자동화 분석 결과 접근권 제공,IT,비공공부문,244,25,269,9.29,
automated_analysis_access,자동화 분석 결과 접근권 제공,IT,공공부문,84,3,87,3.45,
automated_analysis_access,자동화 분석 결과 접근권 제공,LT,비공공부문,178,17,195,8.72,
