Model,Added block,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
M3,직업 유형,education_age,0.0026952539917632465,0.00654807077845812,1.0026988894542346,0.9899124947492398,1.0156504420801757,0.6806250121295242,0.681,
M4,조직 규모,Intercept,0.14440744935388364,0.19313285772403063,1.1553547611857926,0.7912621137403282,1.686981596888059,0.454634847203527,0.455,
M4,조직 규모,C(country_fe)[T.BE],-0.6890731324526335,0.022384690899318677,0.5020411791614379,0.4804912214179542,0.5245576492115885,4.39382520595493e-208,< .001,***
M4,조직 규모,C(country_fe)[T.BG],-0.39354147303786546,0.021406952942916533,0.6746633366585417,0.6469421961450537,0.7035723137916654,1.7706499738396472e-75,< .001,***
M4,조직 규모,C(country_fe)[T.CY],-0.7299770201862652,0.022167878426692714,0.4819200643962741,0.4614298395765346,0.5033201768677285,8.31768193575627e-238,< .001,***
M4,조직 규모,C(country_fe)[T.CZ],-1.3806347755876847,0.021898023347587024,0.25141890781070314,0.24085646286879045,0.26244455495122876,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.DE],-0.6526267484649616,0.01656328685067506,0.5206762932500554,0.50404476563139,0.5378565969493214,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.DK],-1.1244018552634667,0.05172764355141004,0.32484671461109715,0.29352684652359334,0.3595084716898002,9.17746971258386e-105,< .001,***
M4,조직 규모,C(country_fe)[T.EE],-0.7854760886581402,0.018183632453286466,0.4559026000528018,0.4399406914233859,0.4724436379422767,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.ES],-0.8905601515253556,0.020392367030217094,0.4104257877196901,0.39434526099598044,0.42716204272338176,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.FI],-0.9487622010545933,0.04300513158540052,0.3872200274796586,0.35591949543818796,0.42127321375512383,7.391428505545068e-108,< .001,***
M4,조직 규모,C(country_fe)[T.FR],-1.2230595907241446,0.025753766097790665,0.29432826387447464,0.2798403422360675,0.3095662556125801,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.GR],-1.5764101043582237,0.03140795522694282,0.20671585613854868,0.19437450057692987,0.21984079728699205,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.HR],-0.8729401475520387,0.022859799335718755,0.41772157890887246,0.3994189028736961,0.4368629432175343,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.HU],-0.2949424731749881,0.021523885707624184,0.7445744192362334,0.7138170985391441,0.7766570272911062,9.7373088618547e-43,< .001,***
M4,조직 규모,C(country_fe)[T.IE],-0.6128313906126523,0.025101701612830877,0.5418146064305623,0.5158032824638595,0.5691376494139974,1.2163357938020831e-131,< .001,***
M4,조직 규모,C(country_fe)[T.IT],-0.6014285601691283,0.017408296288017534,0.5480281853868236,0.5296450605144352,0.5670493588416827,1.5071084566378275e-261,< .001,***
M4,조직 규모,C(country_fe)[T.LT],-0.8479760506302958,0.022623694952918223,0.4282808741468278,0.4097050870692045,0.4476988764579049,1.8255086902473306e-307,< .001,***
M4,조직 규모,C(country_fe)[T.LU],-0.8823798874000759,0.043375719566877004,0.41379694876203144,0.38007193727698996,0.4505144895240695,5.3864790480732856e-92,< .001,***
M4,조직 규모,C(country_fe)[T.LV],-1.1009262084812774,0.016458429639179293,0.3325629184118675,0.32200630985196915,0.343465613308826,0.0,< .001,***
M4,조직 규모,C(country_fe)[T.MT],-1.2698199733617268,0.033928375270608144,0.28088218350226135,0.2628114650119298,0.30019543099239127,1.4493364345557705e-306,< .001,***
M4,조직 규모,C(country_fe)[T.NL],-1.2723617817324857,0.04978351699287423,0.28016914140912,0.2541233037140106,0.3088844928848445,4.4864111497108347e-144,< .001,***
M4,조직 규모,C(country_fe)[T.PL],-0.5823811469585028,0.024065288144373403,0.5585667522866012,0.5328324563710045,0.5855439416827903,2.222094588998126e-129,< .001,***
M4,조직 규모,C(country_fe)[T.PT],-0.6015189934224512,0.019864479594233743,0.5479786276559736,0.527053794922374,0.5697342078941873,2.0311934876635877e-201,< .001,***
M4,조직 규모,C(country_fe)[T.RO],-0.935388022294332,0.025402683156618793,0.39243356301354965,0.37337337061517123,0.41246675178192793,8.086433334764335e-297,< .001,***
M4,조직 규모,C(country_fe)[T.SE],-0.7307676433262217,0.04905267713004923,0.4815391978225558,0.4373991457118674,0.5301336349484763,3.415820106215604e-50,< .001,***
M4,조직 규모,C(country_fe)[T.SI],-0.43381898863999996,0.01932309930177848,0.6480295455789762,0.6239459285442979,0.6730427633738136,1.256965403600541e-111,< .001,***
M4,조직 규모,C(country_fe)[T.SK],-0.4185306367923665,0.018782807103453023,0.6580129698766336,0.634229589059233,0.6826882188958073,5.444500507492332e-110,< .001,***
